Key,SourceString,Comment
TestDummyFix,TEMP TEXT,Added this line to see if I can fix the first line not being found in build mode?
DeviceCategory_core_Name,Base,
DeviceCategory_core_Description,Sistemi necessari per collegare i Dispositivi.,
DeviceCategory_Core_Name,Base,
DeviceCategory_Core_Description,Sistemi necessari per collegare i Dispositivi.,
DeviceCategory_defense_Name,Scudi,
DeviceCategory_defense_Description,Dispositivi di protezione.,
DeviceCategory_offense_Name,Armi,
DeviceCategory_offense_Description,Laser e altri Dispositivi offensivi.,
DeviceCategory_fuel_Name,Carburante,
DeviceCategory_fuel_Description,Dispositivi che utilizzano o forniscono carburante.,
DeviceCategory_power_Name,Energia,
DeviceCategory_power_Description,Dispositivi che stoccano o producono Energia.,
DeviceCategory_workers_Name,Equipaggio,
DeviceCategory_workers_Description,Dispositivi per mantenere in vita l'equipaggio della nave.,
DeviceCategory_sensors_Name,Sensori,
DeviceCategory_sensors_Description,Rilevamento e raccolta informazioni.,
DeviceCategory_population_Name,Popolazione,
DeviceCategory_logistics_Name,Logistica,
DeviceCategory_resources_Name,Risorse,
Device_FABRICATOR_Name,Fabbricatore,
Device_WIRE_Name,Cavo,
Device_WIRE_Description,Trasferisce [energy] tra i Dispositivi.,
Device_PIPE_Name,Condotto,
Device_PIPE_Description,Collega tra i Dispositivi per condividere [fuel].,
Device_STORAGE_Name,Stoccaggio,
Device_STORAGE SMALL_Name,Contenitore stoccaggio-S,
Device_STORAGE SMALL_Description,*Immagazzina* una piccola quantità di *Risorse*.,
Device_STORAGE MEDIUM_Name,Contenitore stoccaggio-M,
Device_STORAGE MEDIUM_Description,*Immagazzina* una quantità media di *Risorse*.,
Device_STORAGE LARGE_Name,Contenitore stoccaggio-L,
Device_STORAGE LARGE_Description,*Immagazzina* una grande quantità di *Risorse*.,
Device_STORAGE WASTE_Name,Contenitore Rifiuti,
Device_STORAGE WASTE_Description,"Immagazzina *Rifiuti*, liberando spazio nei *Contenitori stoccaggio* per le *Risorse*.",
Device_CONVEYOR_Name,Nastro trasportatore,
Device_CONVEYOR_Description,Muove automaticamente le risorse tra gli Edifici.,
Device_CONVEYOR FORK_Name,Bivio Nastro trasportatore,
Device_CONVEYOR FORK_Description,,
Device_CONVEYOR RAMP UP_Name,Rampa su Nastro trasportatore,
Device_CONVEYOR RAMP UP_Description,,
Device_CONVEYOR RAMP DOWN_Name,Rampa giù Nastro trasportatore,
Device_CONVEYOR RAMP DOWN_Description,,
Device_CONVEYOR BRIDGE_Name,Ponte Nastro trasportatore,
Device_CONVEYOR BRIDGE_Description,,
Device_ELEVATOR_Name,Ascensore,
Device_ELEVATOR_Description,[employees] lo usano per andare negli altri piani.,
Device_RESOURCE PROCESSOR_Name,Macchina Risorse,
Device_FOOD PROCESSOR_Name,Macchina Cibo,
Device_SMALL SENSOR_Name,Sensore-S,
Device_SMALL SENSOR_Description,,
Device_MEDIUM SENSOR_Name,Sensore-M,
Device_MEDIUM SENSOR_Description,,
Device_LARGE SENSOR_Name,Sensore-L,
Device_LARGE SENSOR_Description,,
Device_GENERATOR_Name,Generatore d'Energia-M,
Device_GENERATOR_Description,"Converte una *quantità media* di *Carburante* in *Energia*. Alimenta *Relè d'Energia*, *Dispositivi* e *Edifici*.",
Device_GENERATOR HEAVY_Name,Generatore d'Energia-L,
Device_GENERATOR HEAVY_Description,"Converte una *grande quantità* di *Carburante* in *Energia*. Alimenta *Relè d'Energia*, *Dispositivi* e *Edifici*.",
Device_SMALL GENERATOR_Name,Generatore d'Energia-S,
Device_SMALL GENERATOR_Description,"Converte una *piccola quantità* di *Carburante* in *Energia*. Alimenta *Relè d'Energia*, *Dispositivi* e *Edifici*.",
Device_CONDUIT_Name,Presa industriale,
