Key,SourceString,Comment
TestDummyFix,"TEMP TEXT","Added this line to see if I can fix the first line not being found in build mode?"
DeviceCategory_core_Name,Core,
DeviceCategory_core_Description,"Systems needed for connecting Devices.",
DeviceCategory_Core_Name,Core,
DeviceCategory_Core_Description,"Systems needed for connecting Devices.",
DeviceCategory_defense_Name,Shields,
DeviceCategory_defense_Description,"Protective Devices.",
DeviceCategory_offense_Name,Weapons,
DeviceCategory_offense_Description,"Lasers and other damage-dealing Devices.",
DeviceCategory_fuel_Name,Fuel,
DeviceCategory_fuel_Description,"Devices that use or provide fuel.",
DeviceCategory_power_Name,Energy,
DeviceCategory_power_Description,"Devices that store or provide energy.",
DeviceCategory_workers_Name,Crew,
DeviceCategory_workers_Description,"Ship crew Devices to keep them alive.",
DeviceCategory_sensors_Name,Sensors,
DeviceCategory_sensors_Description,"Detection and intelligence-gathering.",
DeviceCategory_population_Name,Population,
DeviceCategory_logistics_Name,Logistics,
DeviceCategory_resources_Name,Resources,
Device_FABRICATOR_Name,Fabricator,
Device_WIRE_Name,Wire,
Device_WIRE_Description,"Carries [energy] between Devices.",
Device_PIPE_Name,Pipe,
Device_PIPE_Description,"Connect between Devices to share [fuel].",
Device_STORAGE_Name,Storage,
Device_STORAGE SMALL_Name,"Storage Container-S",
Device_STORAGE SMALL_Description,"*Stores* a small amount of *resources*.",
Device_STORAGE MEDIUM_Name,"Storage Container-M",
Device_STORAGE MEDIUM_Description,"*Stores* a medium amount of *resources*.",
Device_STORAGE LARGE_Name,"Storage Container-L",
Device_STORAGE LARGE_Description,"*Stores* a large amount of *resources*.",
Device_STORAGE WASTE_Name,"Waste Receptacle",
Device_STORAGE WASTE_Description,"Stores *Waste*, freeing up space in *Storage Containers* for *Resources*.",
Device_CONVEYOR_Name,"Conveyor Belt",
Device_CONVEYOR_Description,"Automatically move resources within Buildings.",
Device_CONVEYOR FORK_Name,"Conveyor Fork",
Device_CONVEYOR FORK_Description,"",
Device_CONVEYOR RAMP UP_Name,"Conveyor Ramp Up",
Device_CONVEYOR RAMP UP_Description,"",
Device_CONVEYOR RAMP DOWN_Name,"Conveyor Ramp Down",
Device_CONVEYOR RAMP DOWN_Description,"",
Device_CONVEYOR BRIDGE_Name,"Conveyor Bridge",
Device_CONVEYOR BRIDGE_Description,"",
Device_ELEVATOR_Name,Elevator,
Device_ELEVATOR_Description,"[employees] use this to move between floors.",
Device_RESOURCE PROCESSOR_Name,Resource Processor,
